"Ziekenhuisopnamen; diagnose-indeling VTV, regio"
""
""
"Onderwerp";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners"
"GGD Hollands-Midden (GG)";"5,9";"5,9";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,1";"0,1";"0,0";"0,0";"1,3";"1,3";"4,3";"4,3";"37,0";"37,1";"1,1";"1,1";"15,9";"15,9";"24,8";"24,8";"10,7";"10,7";"51,1";"51,2";"33,4";"33,4";"57,6";"58,1";"12,3";"12,3";"4,1";"4,1";"0,9";"0,9";"2,5";"2,5";"19,7";"19,7";"79,5";"79,4";"79,5";"79,4"
"GGD Rotterdam-Rijnmond (GG)";"7,8";"8,0";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,1";"0,1";"0,0";"0,0";"2,0";"2,0";"6,9";"7,3";"41,3";"41,8";"0,8";"0,9";"25,1";"25,7";"36,9";"39,8";"13,2";"13,8";"48,8";"53,2";"23,4";"25,7";"50,6";"50,1";"9,0";"9,7";"5,1";"5,4";"1,5";"1,6";"2,9";"3,1";"23,9";"24,9";"83,4";"87,7";"83,4";"87,7"
"Dienst Gezondheid & Jeugd ZHZ (GG)";"7,4";"7,2";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,1";"0,1";"0,0";"0,0";"2,6";"2,5";"5,2";"5,2";"47,1";"47,3";"0,9";"0,9";"26,2";"26,3";"46,8";"45,4";"12,8";"12,6";"52,1";"51,3";"32,3";"31,9";"43,7";"45,0";"8,1";"7,9";"4,1";"4,1";"1,1";"1,1";"2,4";"2,4";"26,4";"26,3";"53,9";"52,9";"53,9";"52,9"
"GGD Zeeland (GG)";"10,3";"9,9";"0,2";"0,2";"0,1";"0,0";"0,0";"0,0";"0,3";"0,4";"0,1";"0,1";"0,0";"0,0";"1,8";"1,8";"5,6";"5,4";"47,8";"47,3";"1,1";"1,0";"26,0";"25,2";"24,1";"21,7";"11,9";"11,1";"69,3";"60,3";"49,3";"42,9";"55,5";"58,3";"13,9";"12,5";"5,7";"5,1";"1,8";"1,7";"3,3";"2,9";"24,1";"22,6";"131,7";"121,4";"131,7";"121,4"
"GGD West-Brabant (GG)";"9,1";"9,0";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,2";"0,2";"0,0";"0,0";"2,2";"2,2";"5,8";"5,6";"43,0";"42,6";"0,7";"0,7";"23,6";"23,1";"24,5";"23,2";"12,1";"11,7";"49,1";"45,7";"29,8";"27,7";"67,6";"68,4";"9,1";"8,5";"5,4";"5,2";"1,0";"1,0";"3,7";"3,5";"22,7";"21,9";"83,9";"80,6";"83,9";"80,6"
"GGD Hart voor Brabant (GG)";"7,9";"7,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,3";"0,3";"0,0";"0,0";"2,1";"2,1";"4,8";"4,8";"36,9";"36,6";"1,1";"1,1";"21,6";"21,3";"20,7";"20,2";"8,2";"8,1";"49,8";"48,2";"31,8";"30,8";"51,0";"51,0";"11,1";"10,9";"4,7";"4,6";"1,0";"1,0";"3,1";"3,1";"23,0";"22,7";"84,8";"83,3";"84,8";"83,3"
"GGD Brabant-Zuidoost (GG)";"7,1";"7,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,1";"0,1";"0,0";"0,0";"2,0";"2,0";"3,9";"3,9";"37,2";"37,3";"1,1";"1,0";"21,8";"21,8";"40,8";"40,7";"10,7";"10,7";"46,4";"46,1";"25,9";"25,8";"42,8";"42,8";"9,7";"9,7";"4,9";"4,9";"1,2";"1,2";"2,9";"2,9";"21,4";"21,4";"64,7";"64,8";"64,7";"64,8"
"GGD Limburg-Noord (GG)";"9,6";"9,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,3";"0,3";"0,0";"0,0";"1,9";"1,8";"5,2";"5,0";"41,6";"40,3";"1,5";"1,2";"24,6";"23,2";"37,6";"32,7";"10,3";"9,6";"67,7";"57,9";"44,0";"37,5";"61,5";"62,6";"14,9";"13,0";"5,9";"5,4";"1,8";"1,7";"3,6";"3,1";"28,2";"26,0";"102,4";"94,6";"102,4";"94,6"
"GGD Zuid-Limburg (GG)";"7,9";"7,6";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,3";"0,3";"0,1";"0,1";"2,8";"2,7";"5,0";"4,7";"42,8";"41,7";"1,1";"1,0";"23,2";"22,0";"49,8";"42,1";"19,1";"17,1";"57,8";"48,6";"34,4";"28,8";"63,0";"64,0";"9,6";"8,2";"6,4";"5,7";"1,6";"1,5";"4,4";"3,8";"20,9";"18,9";"84,8";"76,7";"84,8";"76,7"
"GGD Haaglanden (GG)";"5,8";"6,1";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,1";"0,1";"0,0";"0,0";"1,5";"1,5";"6,0";"6,5";"31,3";"31,8";"0,6";"0,7";"18,0";"18,6";"16,1";"17,4";"9,2";"9,6";"46,0";"51,9";"29,4";"33,4";"34,3";"33,9";"8,2";"9,2";"4,3";"4,6";"1,2";"1,3";"2,6";"2,9";"20,0";"21,2";"65,4";"71,0";"65,4";"71,0"
"GGD Fryslân (GG)";"7,8";"7,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2";"0,2";"0,5";"0,4";"0,0";"0,0";"2,0";"2,0";"5,8";"5,6";"31,9";"31,8";"0,8";"0,7";"18,4";"18,1";"58,8";"53,0";"12,9";"12,1";"51,7";"46,9";"31,1";"28,1";"39,7";"40,6";"15,2";"14,0";"4,8";"4,6";"1,7";"1,6";"2,4";"2,3";"26,1";"25,3";"66,0";"62,8";"66,0";"62,8"
"GGD Zaanstreek/Waterland (GG)";"5,2";"5,2";"0,0";"0,0";"0,1";"0,1";"0,0";"0,0";"0,2";"0,2";"0,2";"0,2";"0,1";"0,1";"2,4";"2,3";"5,3";"5,2";"38,1";"37,7";"1,2";"1,2";"23,1";"22,7";"46,3";"44,9";"8,0";"7,8";"75,0";"73,1";"40,1";"39,0";"51,3";"52,3";"10,5";"10,2";"4,0";"4,0";"0,9";"0,9";"2,7";"2,6";"23,0";"22,5";"103,6";"101,3";"103,6";"101,3"
"Bron: CBS"
