brongemeente;SLA-sector;concentratie (µg/m³);relatieve bijdrage (%);doelgemeente;scenario;stof;datum export;applicatie versie;data versie
Aalsmeer;Consumenten;0;0,19;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rotterdam;Binnenvaart & recreatievaart;0;0,19;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amstelveen;HDO & Bouw;0;0,19;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amstelveen;Consumenten sfeerverwarming;0;0,19;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Velsen;Scheepvaart & visserij;0;0,19;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Noordwijk;Consumenten sfeerverwarming;0;0,19;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Teylingen;Consumenten sfeerverwarming;0;0,18;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Aalsmeer;Industrie & energie;0;0,17;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Aalsmeer;HDO & Bouw;0;0,17;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Terneuzen;Industrie & energie;0;0,17;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lisse;Consumenten sfeerverwarming;0;0,17;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lisse;Consumenten;0;0,17;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alblasserdam;Industrie & energie;0;0,16;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alphen aan den Rijn;Wegverkeer;0;0,16;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Velsen;Consumenten;0;0,16;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Haag;Wegverkeer;0;0,16;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hillegom;Consumenten;0;0,16;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Uithoorn;Consumenten sfeerverwarming;0;0,15;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
